,Sumerian - Input,English - Exact,English - Predicted
644,ecucuma,"house of consignments ,",the house of consignments
645,ucbar X,"weavers , Lu-… ,",weavers …
646,e ucbar egal,"house of weavers of the palace ,","for the fattening house of the palace ,"
647,u e ucbar nindingir,and house of weavers of the priestess,of the completed of the takers
648,baba,"of Baba ,",To Baba
649,luinimnigsaga,"Lu-inimnigsaga ,","let him ,"
650,cuera,"Šu-Erra ,",( for ) Šu-Erra ;
651,muhaldim lugal,"royal cook ,",the mighty king .
652,dumu zakili,"son of Zak-ilī ,","son of Ur-man ,"
653,NUMB uztur,"NUMB duck ,","NUMB ( mana wool for ) Ku’e ,"
654,NUMB ir,"NUMB pigeon ,","NUMB ( mana wool for ) Ku’e ,"
655,NUMB tugur,"NUMB dove ,",NUMB ( mana wool for ) Aguzi
656,NUMB cahNEturnitagecgi,"NUMB male piglet , canebrake type ,","NUMB ( mana wool for ) Ku’e ,"
657,nigu ningace,for food of my queen ;,"debits , Utu ,"
658,egala banku,brought to the palace ;,"into the palace brought ,"
659,itita u NUMB bazal,of the month the ordNUMB day passed ;,"of the month , day NUMB elapsed ,"
660,urlugaledina,of Ur-Lugaledina ( ’s account ) ;,"let him ,"
661,iti kisiki ninazu,"month : “ ki-siki-of-Ninazu , ”","to the month “ Lisi ” ,"
662,babara X,"Babara … ,","its king … ,"
663,dumu X,"son of Lu-… ,",son of Ur-…
664,kicib ce ziga,"sealed documents , grain , credits ,",grain credits in the carried over debits ;
665,nurickur,"to Nūr-Adda ,",to Nūr-Adda ;
666,sadu cara cupalil,"regular offering for Šara … ,",regular offerings of Šara of KI . AN ;
667,guedinata,from Gu-edina,from Gu’ednina
668,ki egalesita,from Egalesi,"from Muru ,"
669,hala cu bati,did Ḫala receive ;,recieve received ;
670,iti nesagce,"to the month “ First-fruit offering , ”",through the month “ nesag sacrifice ” >> .
671,mu usa cacru bahul,year after : “ Šašru was destroyed . ”,year following : “ Šašru was destroyed . ”
672,hala,"Ḫala ,",a robber
673,dumu lugalemah,"son of Lugal-emaḫ ,",son of Lugal-emaḫ .
674,lu lunga cara,brewer of Šara .,Seized ( s ) of Šara .
675,uc ursilaluh,"Dead : Ur-silaluḫ ,","dead : Nin-zalagani ,"
676,NUMB GAN eurbidu ugula,"NUMB aš-c- ( worker ) , ‘field’ : E-urbidu , a foreman ,","NUMB field area : NUMB , Inzua , the foreman ,"
677,NUMB GAN girinisa,"NUMB aš-c- ( worker ) , ‘field’ : Girini-isa ,","NUMB field area : NUMB ( gur ) , Lu-duga ;"
678,dumunime,"—they are his sons— ,","being her children ,"
679,NUMB GAN urgectinanka,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Geštinanka ,",NUMB the surface ( of ) uncultivated land ;
680,NUMB lusukkalanka,"NUMB diš- ( worker ) : Lu-Sukkalanka ,","NUMB ( mana wool for ) Ku’e ,"
681,tir kisura idab,the Border-woods took in charge ;,Duga received ;
682,NUMB ug dugani,"NUMB aš-c- ( worker with rations of ) NUMB ( sila3 barley ) , NUMB ( mana wool ) , porter : Dugani ,",NUMB ( workman ) porter : Ur-kimah .
683,tir cunamugi idab,the Šunamugi-woods took in charge ;,Intaea accepted ;
684,NUMB GAN inimcara,"NUMB aš-c- ( worker ) , ‘field’ : Inim-Šara ,",NUMB field area : the surface of Lu-Šara ;
685,NUMB lugalinimgina dumuni,"NUMB diš- ( worker ) : Lugal-inim-gina , his son ,","( and ) NUMB ( for ) Nin-kuzu , her daughter ;"
686,tir akunkum idab,the Akunkum-woods took in charge ;,Intaea accepted ;
687,cu uraba,"old : Ur-abba ,","of Ur-abba ,"
688,NUMB GAN lucara dumuni,"NUMB aš-c- ( worker ) , ‘field’ : Lu-Šara , his son ,","NUMB ( workman ) : Lu-Šara , her daughter ,"
689,tir kamari idab,the Kamari-woods took in charge ;,Intaea accepted ;
690,uc lugalitida,"dead : Lugal-itida ,",dead : Lugal-itida ;
691,NUMB GAN lugina,"NUMB aš-c- ( worker ) , ‘field’ : Lu-gina ,","NUMB surface , Lugina ;"
692,NUMB ahubaqar,"NUMB aš- ( worker ) : Aḫu-baqar ,","NUMB ( mana wool for ) Ku’e ,"
693,uc lucara,"dead : Lu-Šara ,",dead : Lu-Šara ;
694,NUMB atanah,"NUMB diš- ( worker ) : Atannaḫ ,","NUMB ( mana wool for ) Ku’e ,"
695,tir aca amri idab,the Amri-field-woods took in charge ;,forest newborns took in the field .
696,NUMB GAN luabu,"NUMB aš-c- ( worker ) , ‘field’ : Lu-Abu ,",NUMB the surface ( of ) uncultivated land ;
697,NUMB luebgal,"NUMB aš- ( worker ) : Lu-ebgal ,","NUMB ( volume ) : Undaga ,"
698,NUMB luenkidu,"NUMB diš- ( worker ) : Lu-Enkidu ,","NUMB ( mana wool for ) Ku’e ,"
699,dumu dadaga,"—sons of Dayadaga— ,","son of Dadaga ,"
700,tir ula idab,the Ula-woods took in charge ;,Duyudu accepted ;
701,NUMB GAN ug adudu,"NUMB aš-c- ( worker ) , ‘field’ , porter : Adudu ,","NUMB field area : NUMB ( gur ) , Inzua ,"
702,NUMB lugalkuzu dumuni,"NUMB diš- ( worker ) : Lugal-kuzu , his son ,","( and ) NUMB ( for ) Lu-Amar-Suen , her daughter ;"
703,tir kirimah idab,the Big-orchard-woods took in charge ;,Apples accepted ( ? ) ;
704,NUMB nu GAN inimanizi,"NUMB aš-c- ( worker ) , ( no! ) , ‘field’ : Inimanizi ,","NUMB : Silver harp , governor of"
705,NUMB nu uremah,"NUMB aš- ( worker ) ( no! ) : Ur-Emaḫ ,","NUMB ( workman ) : Mumu , the DIM4 ."
706,NUMB nu utusaga,"NUMB diš- ( worker ) ( no! ) : Utu-saga ,","NUMB ( mana wool for ) Ku’e , the shepherd ,"
707,NUMB nu ururbartab,"NUMB diš- ( worker ) ( no! ) : Ur-Urbartab ,","NUMB , boat-builders , Ulmašitum ,"
708,tir i dula idab,the Dula-waterway-woods took in charge ;,the accomplished courtyard of the waterway for Nigin-Going ;
709,NUMB cagubi zah,"NUMB aš-c- ( worker ) : Šagubi , flown ,","NUMB , Mumu ,"
710,tir aca carasi idab,the Šarasi-field-woods took in charge ;,forest newborns took in the field .
711,NUMB GAN uremac dumu ursilaluh,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Emaš , son of Ur-silaluḫ ,","NUMB field area : NUMB , Inzua , son of Lugal-kiri6 ;"
712,tir daguna idab,the Daguna-woods took in charge ;,Intaea accepted ;
713,ugula eurbidu,foreman : E-urbidu ;,"foreman : Muru ,"
714,NUMB GAN ceckala ugula,"NUMB aš-c- ( worker ) , ‘field’ : Šeškalla , foreman ,","NUMB field area : NUMB , Šeškalla ;"
715,NUMB inimanizi dumuni,"NUMB diš- ( worker ) : Inimanizi , his son ,","( and ) NUMB ( for ) Inimanizi , her son ;"
716,NUMB GAN lugalhili,"NUMB aš-c- ( worker ) , ‘field’ : Lugal-ḫili ,",NUMB the surface ( of ) uncultivated land ;
717,NUMB carazida,"NUMB aš- ( worker ) : Šara-zida ,","NUMB ( mana wool for ) Šara-zida ,"
718,NUMB luabu,"NUMB diš- ( worker ) : Lu-Abu ,","NUMB ( mana wool for ) Ku’e ,"
719,dumu alume,"—they are sons of Allu— ,","son of Ur-man ,"
720,tir elugal idab,the Royal-house-woods took in charge ;,Intaea accepted ;
721,NUMB GAN akala dumu urtulmah,"NUMB aš-c- ( worker ) , ‘field’ : Akalla , son of Ur-tulmaḫ ,","NUMB field area : NUMB , son of Lu-Šara ;"
722,NUMB girinisa dumuni,"NUMB diš- ( worker ) : Girini-isa , his son ,","( and ) NUMB ( for ) Namninani , her son ;"
723,tir kara idab,the Quay-woods took in charge ;,Duga received .
724,NUMB GAN ceckala,"NUMB aš-c- ( worker ) , ‘field’ : Šeškalla ,","NUMB surface , Šeškalla ;"
725,NUMB lugalhegal dumuni,"NUMB aš- ( worker ) : Lugal-ḫegal , his son ,","( and ) NUMB ( for ) Nin-kuzu , her daughter ;"
726,tir masar idab,the Masar-woods took in charge ;,Intaea accepted ;
727,NUMB GAN ludingira dumu urlugal,"NUMB aš-c- ( worker ) , ‘field’ : Lu-dingira , son of Ur-lugal ,",NUMB field area : son of Weir-field of the Amar-ayasi .
728,tir turuda idab,the Turuda-woods took in charge ;,Intaea accepted ;
729,NUMB GAN ug lugalhegal dumu urgu,"NUMB aš-c- ( worker ) , ‘field’ , porter : Lugal-ḫegal , son of Ur-gu ,","NUMB surface of Weir-field , son of Nin-Urda , son of Ur-Bilgames ,"
730,NUMB luninazu dumuni,"NUMB diš- ( worker ) : Lu-Ninazu , his son ,","( and ) NUMB ( for ) Ku’e , her daughter ,"
731,tir nagsu idab,the Nagsu-woods took in charge ;,Intaea accepted ;
732,NUMB GAN lugalzage,"NUMB aš-c- ( worker ) , ‘field’ : Lugal-zage ,",NUMB the surface ( of ) uncultivated land ;
733,NUMB lunanna dumuni,"NUMB diš- ( worker ) : Lu-Nanna , his son ,","( and ) NUMB ( for ) Namninani , her daughter ;"
734,tir girgec idab,the Girgeš-woods took in charge ;,Intaea accepted ;
735,NUMB GAN urnigar,"NUMB aš-c- ( worker ) , ‘field’ : Ur-nigar ,","NUMB surface , Ur-nigar ,"
736,NUMB ata dumuni,"NUMB diš- ( worker ) : Ata , his son ,","( and ) NUMB ( mina of wool for ) Nigtuku , her child ,"
737,tir inime idab,the Inime-woods took in charge ;,Intaea accepted ;
738,cu abasaga,"old : Abba-saga ,",did Abbasaga
739,tir balatimdurun idab,the Bala’atimdurun-woods took in charge ;,Intaea accepted ;
740,NUMB GAN carakam,"NUMB aš-c- ( worker ) , ‘field’ : Šara-kam ,","NUMB field area : NUMB ( per iku ) ,"
741,tir kisura adab idab,the Kisura-of-Adab-woods took in charge ;,"Apples , sheaves , of the city of Adab ;"
742,NUMB GAN bansa,"NUMB aš-c- ( worker ) , ‘field’ : Bansa ,",NUMB the surface ( of ) uncultivated land ;
743,NUMB ursukkal dumuni,"NUMB diš- ( worker ) : Ur-sukkal , his son ,","( and ) NUMB ( for ) Namšeša , her daughter ,"
744,tir zabala idab,the Zabala-woods took in charge ;,Apples accepted ;
745,ugula ceckala,foreman : Šeškalla ;,"foreman Šeškala ,"
746,NUMB GAN ug urgigir,"NUMB aš-c- ( worker ) , ‘field’ , porter : Ur-gigir ,","NUMB ( workman ) porter : Ur-kimah , son of Ur-gigir ,"
747,tir i gala idab,the Big-waterway-woods took in charge ;,the palace of the waterway storage erected ;
748,cu urcara dumu ARAD,"old : Ur-Šara , son of ARAD ,","Ḫili , son of ARAD ,"
749,NUMB GAN luhegal,"NUMB aš-c- ( worker ) , ‘field’ : Lu-ḫegal ,",NUMB the surface ( of ) uncultivated land ;
750,NUMB halamami,"NUMB aš- ( worker ) : Ḫala-Mami ,","NUMB ( mana wool for ) Ku’e ,"
751,uc ludingira,"dead : Lu-dingira ,",dead : Lu-dingira ;
752,NUMB lugalnesage,"NUMB diš- ( worker ) : Lugal-nesage ,",NUMB ( workman ) : Lugal-nesage .
753,tir garcanaka idab,the Garšana-woods took in charge ;,Intaea accepted ;
754,NUMB GAN urcara dumu idia,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Šara , son of Idi’a ,","NUMB field area : NUMB , Ur-Šara , son of Dayaga ;"
755,tir eringarcanaka idab,the troops-of-Garšana-woods took in charge ;,Intaea accepted ;
756,NUMB GAN ug luga,"NUMB aš-c- ( worker ) , ‘field’ , porter : Luga ,","NUMB field area : NUMB ( gur ) , Inzua ,"
757,NUMB GAN urdumuzida dumu urmes,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Dumuzida , son of Ur-mes ,","NUMB field area : Ur-Dumuzida , son of Lu-Šara ;"
758,tir canintina idab,the Midst-of-Nintina-woods took in charge ;,Intaea accepted ;
759,NUMB GAN cakusig,"NUMB aš-c- ( worker ) , ‘field’ : Šakusig ,",NUMB the surface ( of ) uncultivated land ;
760,NUMB urnigar,"NUMB aš- ( worker ) : Ur-nigar ,",NUMB ( barig ) : Ur-nigar
761,NUMB luebgal,"NUMB diš- ( worker ) : Lu-ebgal ,","NUMB ( volume ) : Undaga ,"
762,tir gabarigarcanaka idab,the Copy-of-Garšana-woods took in charge ;,Intaea accepted ;
763,tir macukudiri gu i namhani idab,"the Extra-prebend-boat-woods , bank of the Namḫani-waterway , took in charge ;","forest arrears of the house of the Šulpa’e ( ? ) ,"
764,NUMB ARADcara dumuni,"NUMB diš- ( worker ) : ARAD-Šara , his son ,","( and ) NUMB ARAD-Šara , her daughter ;"
765,dumu handa nukiri,"son of Ḫanda , the orchardman ,","son of Bidu , the plowman ,"
766,tir ukunuti gu i culgihegal idab,"the Ukunuti-woods , bank of the Šulgi-ḫegal-waterway , took in charge ;","the messenger uncle of the waterway To Nigin-Going ,"
767,NUMB GAN abagina dumu urnigar dumu da,"NUMB aš-c- ( worker ) , ‘field’ : Abba-gina , son of Ur-nigar , son of Dayya ,","NUMB field area : NUMB , Abbagina , son of ARAD2-x , son of NI-x-šari ,"
768,ime taka,"remainder of the preceding year ,",year : “ deficit ; ”
769,tir iribura idab,the Bura-town-woods took in charge ;,Intaea accepted ;
770,NUMB GAN lalmes,"NUMB aš-c- ( worker ) , ‘field’ : Lal-mes ,",NUMB the surface ( of ) uncultivated land ;
771,tir aduganigin idab,the Aduganigin-woods took in charge ;,Intaea accepted ;
772,NUMB GAN abudu,"NUMB aš-c- ( worker ) , ‘field’ : Abu-ṭab ,",NUMB the surface ( of ) uncultivated land ;
773,tir garsuda idab,the Garsuda-woods took in charge ;,Intaea accepted ;
774,NUMB GAN lugaldaga,"NUMB aš-c- ( worker ) , ‘field’ : Lugal-daga ,",NUMB the surface ( of ) uncultivated land ;
775,uc amaki pa urnigar,"dead : Ama-ki , oldest brother of Ur-nigar ,","dead : “ the great gods , ”"
776,tir GANmac idab,the GANmaš-woods took in charge ;,Apples accepted ;
777,ugula urcara,foreman : Ur-Šara ;,foreman : Ur-Šara ;
778,cunigin NUMB GAN guruc ugula,"total : NUMB aš-c- ( workers ) , ‘field’ corporate slaves , foremen ;","total : NUMB surface area , NUMB each ;"
779,cunigin NUMB dumunita diri,total : NUMB extra male child ;,"total : NUMB weighed ,"
780,cunigin NUMB dumunita,total : NUMB diš- ( worker ) male child ;,total : NUMB ( ? ) under seal
781,cunigin NUMB guruc cugi,"total : NUMB diš-corporate slave , old NUMB ;","total : NUMB deer bucks ,"
782,ugula idab,the foreman took in charge ;,foreman : Ninura ;
783,cunigin NUMB GAN guruc,"total : NUMB aš-c- ( workers ) , ‘field’ , corporate slaves ;","total : NUMB šar2 NUMB surface area ,"
784,cunigin NUMB guruc nudab,"total : NUMB aš-c- ( worker ) , corporate slave , not took in charge ;","total : NUMB k-equids ,"
785,cunigin NUMB dumunita,"total : NUMB aš- ( workers ) , male children ;",total : NUMB ( ? ) under seal
786,cunigin NUMB dumunita,"total : NUMB diš- ( workers ) , male children ;",total : NUMB ( ? ) under seal
787,cunigin NUMB guruc cugi,"total : NUMB diš- ( workers ) , corporate slaves , old ones ;","total : NUMB deer bucks ,"
788,cunigin NUMB guruc zah,"total : NUMB aš- ( worker ) , corporate slave , flown ;",total : NUMB
789,cunigin NUMB guruc nudab,"total : NUMB aš- ( worker ) , corporate slave , not took in charge ;","total : NUMB k-equids ,"
790,cunigin NUMB dumunita nudab,"total : NUMB diš- ( workers ) , male children , not passed by ;",total : NUMB son of Gudea ;
791,cunigin NUMB GAN ug guruc,"total : NUMB aš-c- ( workers ) , ‘field’ , porters , corporate slaves ;","total : NUMB , NUMB surface area ;"
792,cunigin NUMB ug guruc NUMB sila ce NUMB mana sikita,"total : NUMB aš- ( worker ) , porter , corporate slave at NUMB sila3 barley NUMB mana wool each ;","total : NUMB , NUMB mina , NUMB sila3 wool each ,"
793,ugILme,—they are porters— ;,"( for ) the porters ,"
794,cebi NUMB sila,"their barley : NUMB sila3 ,","the barley involved : NUMB sila3 ,"
795,itida bedam,to be distributed monthly ;,"Ur-šarrugin , his officer-of-sixty"
796,sikibi NUMB mana,"their wool NUMB mana ,","its wool : NUMB mana ,"
797,mua bedam,to be distributed yearly ;,"the throne of Utu ,"
798,gurum ak erin daba lu tira,inspection of the troops passed by as foresters :,"inspection ( s ) of worktrooper2 , labor of the bala’s ( labor- ) troops ,"
799,akala ensi umma,"Ayakalla , ensi of Umma ;",( from ) the governor of Umma ;
800,giri catakuzu sukkal,"via Šata-kuzu , the sukkal ,","via Lu-Utu , the messenger ;"
801,luinanna sukkal,"Lu-Inanna , the sukkal ,","Lu-Inanna , the messenger ,"
802,u lunanna dumu inimcara,"and Lu-Nanna , son of Inim-Šara ;",and clay son of Inim-Šara .
803,iti ezemdumuzi,"month : “ Dumuzi festival , ”","month “ Festival of Dumuzi , ”"
804,mu enuneamarsuenrakiag en eridu bahun,Year : “ Ennune-Amar-Suenra-ki’ag as priest of Eridu was installed . ”,"year : “ Enmaḫgalana , the high-priestess of Eridu was hired . ”"
805,NUMB ninda gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda the length , NUMB cubits the width , NUMB cubits the depth ,",NUMB ninda long ninda NUMB cubits long cubit ;
806,acabi NUMB sar NUMB gin,its volume : NUMB sar NUMB shekels ;,"NUMB sar NUMB shekels ,"
807,NUMB ninda NUMB kuc gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda NUMB cubits the length , NUMB cubits the width , NUMB cubits the depth ,","NUMB ninda NUMB cubits , NUMB cubits the length ;"
808,acabi NUMB sar la NUMB gin,its volume : NUMB sar NUMB shekel ;,"NUMB sar NUMB shekels ,"
809,NUMB ninda gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda the length , NUMB cubits the width , NUMB cubit the depth ,",NUMB ninda long ninda NUMB cubits long cubit ;
810,acabi NUMB sar,its volume : NUMB sar ;,"NUMB field area : NUMB ( a day ) ,"
811,NUMB ninda NUMB kuc gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda NUMB cubit the length , NUMB cubits the width , NUMB cubits the depth ,","NUMB ninda NUMB cubits , NUMB cubits the length ;"
812,acabi NUMB gin,its volume : NUMB shekels ;,a field of NUMB shekel : NUMB shekels ;
813,NUMB ninda gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda the length , NUMB cubits the width , NUMB cubits the depth ;",NUMB ninda long ninda NUMB cubits long cubit ;
814,NUMB ninda NUMB kuc gid nuak,NUMB ninda NUMB cubits the length ; ( the measurements are ) unfinished ;,NUMB ninda NUMB cubits the length ;
815,NUMB ninda NUMB kuc gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda NUMB cubit the length , NUMB cubits the width , NUMB cubits the depth ;","NUMB ninda NUMB cubits , NUMB cubits the length ;"
816,acabi NUMB sar NUMB gin,its volume NUMB sar NUMB shekels ;,"NUMB sar NUMB shekels ,"
817,NUMB gin DUBla,NUMB shekels DUBla ;,"NUMB shekels , released ;"
818,cunigin NUMB sar NUMB gin kin sahar,total : NUMB sar NUMB shekel earthwork .,total : NUMB sar NUMB shekels soil ;
819,imdua e niglagarka,pisé walls for the household of Nig-lagar .,"the house of the great love ,"
820,NUMB guruc u NUMB,"NUMB laborer days ,",NUMB workmen for NUMB days
821,kisu aca manu,at the threshing floor of the field Willow stationed ;,at the threshing floor of the field Nin-ura ;
822,ugula urmes,"foreman : Ur-mes ,","foreman : Urmes ,"
823,giri tugac,via Tugaš ;,via Bululu ;
824,NUMB udu niga,NUMB grain-fed ram,"NUMB sheep , grain-fed"
825,guza ena,"( for ) the throne of the high-priestess ,",throne of the cook
826,giri nursuen sagi,"via Nur-Suen , the “ cup-bearer , ”","via Nur-Suen , cupbearer ;"
827,babancen mackim,Babanšen the responsible official ;,"Babanšen , responsible official ;"
828,ki culgiamuta bazi,from ( the account of ) Šulgi-ayamu booked out ;,Booked out of Šulgi-a'amu ( ’s account ) .
829,sipa unu,of shepherds and cowherds,"shepherds , cattle herdsmen"
830,kinunir,"of Kinunir ,","Kinunir ,"
831,u sagapin e ninhursag,"and the head-plowmen of the house of Ninḫursag ,","and head-ploughmen of the house of Ninḫursag ,"
832,mu harci kimac bahul,"year : “ Ḫarši , Kimaš were destroyed . ” NUMB","year : “ Ḫarši , Kimaš were destroyed . ”"
833,enancekiag,"En-Nanše-kiag ,","let him ,"
834,abamu,"of Abbamu ,","Abbamu ,"
835,giri atu,"via Atu ,",via Atu ;
836,nigkak a buru a ente,"accounts of labor of harvest and labor of wintertime ,","accounts of harvest , over the wintertime ,"
837,mu en nanna karzida bahun,year : “ The en- ( priestess ) of Nanna of Karzida was hired . ”,year : “ The high-priestess of Nanna in Karzida was hired . ”
838,dumu idisuen,"son of Idī-Suen ,","son of Ur-man ,"
839,damgarne,of the exchange agents,of the merchants
840,dumu X,"son of Ilī-… ,",son of Ur-…
841,sagi ARADzu,"cupbearer , is your servant .","cupbearer , is your servant ."
842,ceba gu i nigindu,"barley rations of the bank of the waterway Nigin-du ,","barley rations of the bank of the waterway Pirig-gindu ,"
843,NUMB sa gizi,NUMB bundles of good reed,"NUMB bundles , fodder-reed ,"
844,guniginba NUMB,"in bales of NUMB bundles each ,","at NUMB shekel each ,"
845,ki lugalmumanagta,"from Lugalmu-manag ,","from Muru ,"
846,kicib alulu,sealed tablet of Alulu .,under seal of Alulu ;
847,iti cekaragala,"Month : “ barley brought to the docks , ”","month : “ Barley at the quay , ”"
848,mu en eridu bahun,year : “ priest of Eridu is installed . ”,year : “ The high-priestess of Eridu was hired . ”
849,X,for Utu-… ;,… ; .
850,luduga,for Lu-duga ;,"Lu-duga ,"
851,X,for Lu-… ;,… ; .
852,"s,alia",for Ṣallīya ;,"let him ,"
853,urbaba,for Ur-Baba ;,"Ur-Baba Ur-Baba ,"
854,hulania,for Ḫullāniya ;,"let him ,"
855,hablulu,for Ḫāblulu ;,"let him ,"
856,suhucgi,for Suḫušgi ;,"let him ,"
857,cuinanna,for Šū-Inanna ;,"let him ,"
858,camu,for Šamu ;,"let him ,"
859,cunigin NUMB sila kac saga cunigin NUMB sila kac du,total : NUMB sila3 fine beer ; total : NUMB sila3 common beer ;,"Together : NUMB ( ban ) NUMB sila fine beer , together : NUMB sila3 common beer ,"
860,cunigin NUMB sila ninda cunigin NUMB sila cum,total : NUMB sila3 bread ; total : NUMB sila3 onions ;,total : NUMB sila3 bread ; total : NUMB sila3 onions ;
861,cunigin NUMB sila NUMB gin i cunigin NUMB sila NUMB gin naga,total : NUMB sila3 NUMB shekels oil ; total : NUMB sila3 NUMB shekels alkali-plant ;,total : NUMB sila3 NUMB shekels oil ; total : NUMB sila3 NUMB shekels alkali-plant .
862,niginba,grand totals,grand totals
863,guapin guba,"of plow-oxen , stationed ,","plow-oxen , stationed ,"
864,u cabrane,"and chief household administrators ,",when the chief of the granary
865,NUMB masab NUMB,"NUMB masab-baskets at NUMB ban each ,","NUMB skin trunks ,"
866,nurma bansi,filled ? with pomegranates,"debits , Utu ,"
867,tumalce,"to Tummal ,","let him ,"
868,giri laqipu candana,"via Laqipu , the š . ;","via Bululu , the shepherd ,"
869,iti nigenlila,"month : “ that of Enlil , ”","month “ Šu’eša , ”"
870,mu en enki bahun,year : “ the lord of Enki was hired . ”,year : “ The high-priestess of Enki was hired ; ”
871,NUMB sila NUMB gin ce gur X,"NUMB sila3 NUMB shekels barley … ,","NUMB sila3 NUMB shekels ,"
872,a lu hunga acaga,wages of the hirelings of the field … ;,labor of the hirelings at the field Uḫub ;
873,NUMB gur a lu hunga X,"NUMB  NUMB ( ? ) wages of the hirelings … ,",NUMB …
874,laia nigkak,deficit of the account,deficit of the account ;
875,ARADdingira,of ARAD-dingira ( ? ) ;,"let him ,"
876,atu dumu lugalsagake,"Atu , son of Lugal-saga","Atu , son of Bidu ,"
877,susudam,must replace it ;,it is to be repaid ;
878,dumu lugalsaga,son of Lugal-saga .,"son of Lugalsaga ,"
879,NUMB dusumunus,"NUMB female equids ,","( and ) NUMB domestic jennies ,"
880,cugi,"old ,",he shall not attach .
881,ki cuidimta,"from Šu-Idim ,",from Šu-Idim
882,cenumun,seed grain,"of Nergal ,"
883,u GAN urua niginbabi,"and fields in plow , their grand totals","and the fattening House in plow ,"
884,mu en inanna mace ipa,year : “ The en- ( priest ) of Inanna by the goat was found . ”,Year : “ en ( -priest ) of Inanna was chosen by means of omens ” ( Ibbi-Suen NUMB )
885,NUMB udu niga barana,"NUMB sheep , barley-fed , for the dais of An ,","NUMB sheep , barley-fed , for Lugalbanda ,"
886,NUMB udu niga NUMB us NUMB udu niga NUMB us,"NUMB sheep , barley-fed , of ordNUMB grade , NUMB sheep , barley-fed , of ordNUMB grade","NUMB sheep , grain-fed , ordNUMB grade , ordNUMB grade , ordNUMB quality ,"
887,nanna,for Nanna ;,"To Nanna ,"
888,NUMB macgal niga NUMB us dublamah,"NUMB buck , barley-fed , of ordNUMB grade for Dublamaḫ ,","NUMB grain-fed adult billygoat , barley-fed , of NUMB grade ,"
889,NUMB udu niga NUMB macgal niga gueusa,"NUMB sheep , barley-fed , NUMB bucks , barley-fed , “ following oxen , ”","NUMB sheep , barley-fed , NUMB mature goat , barley-fed , “ following oxen , ”"
890,ezemana,“ Festival of An ” ;,"( from ) Bazige ,"
891,NUMB udu niga NUMB us dur,"NUMB sheep , barley-fed , of ordNUMB grade , for “ Mound of the Roof ; ”","NUMB sheep , barley-fed , of ordNUMB grade ,"
892,NUMB udu niga NUMB us NUMB udu niga NUMB us,"NUMB sheep , barley-fed , of ordNUMB grade , NUMB sheep , barley-fed , of ordNUMB grade ,","NUMB sheep , grain-fed , ordNUMB grade , ordNUMB grade , ordNUMB quality ,"
893,nungal,for Nungal ;,"let him ,"
894,NUMB udu niga dublamah,"NUMB sheep , barley-fed , for Dublamaḫ ;","NUMB sheep , barley-fed , at Dublamaḫ ,"
895,NUMB udu niga gueusa ANdur,"NUMB sheep , barley-fed , “ following oxen , ” for ANdur ;","NUMB sheep , barley-fed , “ I have measure out ” ( agar NUMB )"
896,NUMB udu niga X culgi TUR X,"NUMB sheep , barley-fed , … , for Šulgi … ;","NUMB sheep , barley-fed , … , for Aḫab-atal , …"
897,NUMB X dandanda,"NUMB … , for Dandanda ;","NUMB … for Silver Mound ,"
898,NUMB X ningal X,"NUMB … , for Ningal … ;","NUMB … for Nusku … ,"
899,NUMB gueusa ninuri,"NUMB ( sheep , barley-fed , ) “ following oxen , ” for Ninuri ;","NUMB ( mana wool for ) Ku’e ,"
900,NUMB X X,NUMB … Šu-Suen-ki’ag … ;,"( and ) NUMB ( for ) Geme-… ,"
901,NUMB X X,"NUMB … , for … ;","( and ) NUMB ( for ) Geme-… ,"
902,NUMB udu niga X,"NUMB sheep , barley-fed , for …-kalla ;","NUMB sheep , barley-fed , … ,"
903,NUMB udu niga X ninkununa,"NUMB sheep , barley-fed , … for Ninkununa ;","NUMB sheep for Alla … ( ? ) ,"
904,NUMB udu niga NUMB us gula,"NUMB sheep , barley-fed , of ordNUMB grade , for Gula ;","NUMB sheep , barley-fed , of ordNUMB grade ,"
905,NUMB udu niga NUMB sila ninegal,"NUMB sheep , barley-fed , NUMB lamb , for Nin-egal ;","NUMB sheep , grain-fed , NUMB lamb ,"
906,giri suenabucu sagi,"via Suen-abušu , cup-bearer ,","via Bululu , the shepherd ,"
907,ki abaenlilginta bazi,"booked out from Aba-Enlilgin ( ’s account ) ,","from Aba-Enlilgin , booked out ,"
908,giri urculgira carabdu,"via Ur-Šulgi , šarabdu ;","via the depot ‘Ibex-of-Apsu’ ,"
909,mu cusuen lugal urimake naruamah enlil ninlilra munedu,"year : “ Šu-Suen , king of Ur , the grand-stele for Enlil ( and ) Ninlil erected ; ”","year : “ Šu-Suen , king of Ur , Big-Stele for Enlil and Ninlil erected . ”"
