,Sumerian - Input,English - Exact,English - Predicted
673,dumu lugalemah,"son of Lugal-emaḫ ,",son of Lugal-emaḫ .
674,lu lunga cara,brewer of Šara .,did Šara receive ;
675,uc ursilaluh,"Dead : Ur-silaluḫ ,","dead , Ur-silaluh ."
676,NUMB GAN eurbidu ugula,"NUMB aš-c- ( worker ) , ‘field’ : E-urbidu , a foreman ,",NUMB field area : field of … ;
677,NUMB GAN girinisa,"NUMB aš-c- ( worker ) , ‘field’ : Girini-isa ,","NUMB the surface ( of the ) Girini-isa ,"
678,dumunime,"—they are his sons— ,",being her children ;
679,NUMB GAN urgectinanka,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Geštinanka ,","NUMB field area ( sowed with ) NUMB ,"
680,NUMB lusukkalanka,"NUMB diš- ( worker ) : Lu-Sukkalanka ,",NUMB ( mana wool for ) Ur-Urbartab
681,tir kisura idab,the Border-woods took in charge ;,forest Šum-bad-…
682,NUMB ug dugani,"NUMB aš-c- ( worker with rations of ) NUMB ( sila3 barley ) , NUMB ( mana wool ) , porter : Dugani ,",NUMB ( workman ) porter : Lu-gamu .
683,tir cunamugi idab,the Šunamugi-woods took in charge ;,forest Šum-bad-…
684,NUMB GAN inimcara,"NUMB aš-c- ( worker ) , ‘field’ : Inim-Šara ,",NUMB field area : Inim-Šara
685,NUMB lugalinimgina dumuni,"NUMB diš- ( worker ) : Lugal-inim-gina , his son ,","( and ) NUMB ( mina of wool for ) Lugal-inim-gina , her daughter ,"
686,tir akunkum idab,the Akunkum-woods took in charge ;,forest Šum-bad-…
687,cu uraba,"old : Ur-abba ,","is Ur-abba ,"
688,NUMB GAN lucara dumuni,"NUMB aš-c- ( worker ) , ‘field’ : Lu-Šara , his son ,","NUMB field area : Lu-Šara , her daughter ;"
689,tir kamari idab,the Kamari-woods took in charge ;,forest Šum-bad-…
690,uc lugalitida,"dead : Lugal-itida ,",dead Lugal-itida ;
691,NUMB GAN lugina,"NUMB aš-c- ( worker ) , ‘field’ : Lu-gina ,",NUMB field area : Lugina ;
692,NUMB ahubaqar,"NUMB aš- ( worker ) : Aḫu-baqar ,",NUMB ( mana wool for ) Ur-Urbartab
693,uc lucara,"dead : Lu-Šara ,",dead : Lu-Šara ;
694,NUMB atanah,"NUMB diš- ( worker ) : Atannaḫ ,",NUMB ( mana wool for ) Ur-Urbartab
695,tir aca amri idab,the Amri-field-woods took in charge ;,field forest Šum-bad-…
696,NUMB GAN luabu,"NUMB aš-c- ( worker ) , ‘field’ : Lu-Abu ,","NUMB field area ( sowed with ) NUMB ,"
697,NUMB luebgal,"NUMB aš- ( worker ) : Lu-ebgal ,","NUMB ( mana wool for ) Lu-ebgal ,"
698,NUMB luenkidu,"NUMB diš- ( worker ) : Lu-Enkidu ,",NUMB ( mana wool for ) Ur-Urbartab
699,dumu dadaga,"—sons of Dayadaga— ,","son of Dadaga ,"
700,tir ula idab,the Ula-woods took in charge ;,forest Šum-bad-…
701,NUMB GAN ug adudu,"NUMB aš-c- ( worker ) , ‘field’ , porter : Adudu ,",NUMB ( workman ) porter : Adudu .
702,NUMB lugalkuzu dumuni,"NUMB diš- ( worker ) : Lugal-kuzu , his son ,","( and ) NUMB ( for ) Lugal-kuzu , her daughter ,"
703,tir kirimah idab,the Big-orchard-woods took in charge ;,forest Šum-bad-…
704,NUMB nu GAN inimanizi,"NUMB aš-c- ( worker ) , ( no! ) , ‘field’ : Inimanizi ,",NUMB field area Inimanizi ;
705,NUMB nu uremah,"NUMB aš- ( worker ) ( no! ) : Ur-Emaḫ ,",NUMB ( workman ) : Ur-emah .
706,NUMB nu utusaga,"NUMB diš- ( worker ) ( no! ) : Utu-saga ,",NUMB ( mana wool for ) Ninmu-ḫamušizu
707,NUMB nu ururbartab,"NUMB diš- ( worker ) ( no! ) : Ur-Urbartab ,","NUMB Ur-Urbartab ,"
708,tir i dula idab,the Dula-waterway-woods took in charge ;,forest Šum-bad-…
709,NUMB cagubi zah,"NUMB aš-c- ( worker ) : Šagubi , flown ,","NUMB Seized runaways ,"
710,tir aca carasi idab,the Šarasi-field-woods took in charge ;,field forest Šum-bad-…
711,NUMB GAN uremac dumu ursilaluh,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Emaš , son of Ur-silaluḫ ,",NUMB field area : Ur-silaluh .
712,tir daguna idab,the Daguna-woods took in charge ;,forest Šum-bad-…
713,ugula eurbidu,foreman : E-urbidu ;,foreman : A'abba
714,NUMB GAN ceckala ugula,"NUMB aš-c- ( worker ) , ‘field’ : Šeškalla , foreman ,","NUMB field area : Šeškalla , foreman of foreman ;"
715,NUMB inimanizi dumuni,"NUMB diš- ( worker ) : Inimanizi , his son ,","( and ) NUMB ( mina of wool for ) Inimanizi , her daughter ,"
716,NUMB GAN lugalhili,"NUMB aš-c- ( worker ) , ‘field’ : Lugal-ḫili ,","NUMB field area ( sowed with ) NUMB ,"
717,NUMB carazida,"NUMB aš- ( worker ) : Šara-zida ,","NUMB Šara-zida ,"
718,NUMB luabu,"NUMB diš- ( worker ) : Lu-Abu ,",NUMB ( mana wool for ) Ur-Urbartab
719,dumu alume,"—they are sons of Allu— ,","son of Šū-Adda ,"
720,tir elugal idab,the Royal-house-woods took in charge ;,forest Šum-bad-…
721,NUMB GAN akala dumu urtulmah,"NUMB aš-c- ( worker ) , ‘field’ : Akalla , son of Ur-tulmaḫ ,","NUMB field area : Akalla , son of … ;"
722,NUMB girinisa dumuni,"NUMB diš- ( worker ) : Girini-isa , his son ,","( and ) NUMB ( for ) Girini-isa ,"
723,tir kara idab,the Quay-woods took in charge ;,forest Šum-bad-…
724,NUMB GAN ceckala,"NUMB aš-c- ( worker ) , ‘field’ : Šeškalla ,","NUMB field area : Šeškalla ,"
725,NUMB lugalhegal dumuni,"NUMB aš- ( worker ) : Lugal-ḫegal , his son ,","NUMB Lugal-ḫegal , her daughter ,"
726,tir masar idab,the Masar-woods took in charge ;,forest Šum-bad-…
727,NUMB GAN ludingira dumu urlugal,"NUMB aš-c- ( worker ) , ‘field’ : Lu-dingira , son of Ur-lugal ,","NUMB field area : Lu-dingira , son of Ur-lugal ;"
728,tir turuda idab,the Turuda-woods took in charge ;,forest Šum-bad-…
729,NUMB GAN ug lugalhegal dumu urgu,"NUMB aš-c- ( worker ) , ‘field’ , porter : Lugal-ḫegal , son of Ur-gu ,",NUMB ( workman ) porter : Lu-gamu .
730,NUMB luninazu dumuni,"NUMB diš- ( worker ) : Lu-Ninazu , his son ,","( and ) NUMB ( for ) Lugal-banda ,"
731,tir nagsu idab,the Nagsu-woods took in charge ;,forest Šum-bad-…
732,NUMB GAN lugalzage,"NUMB aš-c- ( worker ) , ‘field’ : Lugal-zage ,","NUMB field area ( sowed with ) NUMB ,"
733,NUMB lunanna dumuni,"NUMB diš- ( worker ) : Lu-Nanna , his son ,","( and ) NUMB ( for ) Lu-Nanna , her daughter ;"
734,tir girgec idab,the Girgeš-woods took in charge ;,forest Šum-bad-…
735,NUMB GAN urnigar,"NUMB aš-c- ( worker ) , ‘field’ : Ur-nigar ,","NUMB field area : Ur-nigar ,"
736,NUMB ata dumuni,"NUMB diš- ( worker ) : Ata , his son ,","( and ) NUMB water skins , her daughter ,"
737,tir inime idab,the Inime-woods took in charge ;,forest Šum-bad-…
738,cu abasaga,"old : Abba-saga ,",Abbasaga
739,tir balatimdurun idab,the Bala’atimdurun-woods took in charge ;,forest Šum-bad-…
740,NUMB GAN carakam,"NUMB aš-c- ( worker ) , ‘field’ : Šara-kam ,","NUMB field area : Šara-kam ,"
741,tir kisura adab idab,the Kisura-of-Adab-woods took in charge ;,forest Šum-bad-…
742,NUMB GAN bansa,"NUMB aš-c- ( worker ) , ‘field’ : Bansa ,","NUMB field area ( sowed with ) NUMB ,"
743,NUMB ursukkal dumuni,"NUMB diš- ( worker ) : Ur-sukkal , his son ,","( and ) NUMB ( mina of wool for ) Ur-sukkal ,"
744,tir zabala idab,the Zabala-woods took in charge ;,forest Šum-bad-…
745,ugula ceckala,foreman : Šeškalla ;,"foreman Šeškala ,"
746,NUMB GAN ug urgigir,"NUMB aš-c- ( worker ) , ‘field’ , porter : Ur-gigir ,","NUMB ( workman ) porter : Ur-gigir ,"
747,tir i gala idab,the Big-waterway-woods took in charge ;,forest Šum-bad-…
748,cu urcara dumu ARAD,"old : Ur-Šara , son of ARAD ,","Ur-Šara , son of ARAD ;"
749,NUMB GAN luhegal,"NUMB aš-c- ( worker ) , ‘field’ : Lu-ḫegal ,","NUMB field area : Lu-ḫegal ,"
750,NUMB halamami,"NUMB aš- ( worker ) : Ḫala-Mami ,",NUMB ( mana wool for ) Ur-Urbartab
751,uc ludingira,"dead : Lu-dingira ,",dead : Lu-dingira ;
752,NUMB lugalnesage,"NUMB diš- ( worker ) : Lugal-nesage ,",NUMB Lugal-nesage ;
753,tir garcanaka idab,the Garšana-woods took in charge ;,forest Šum-bad-…
754,NUMB GAN urcara dumu idia,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Šara , son of Idi’a ,","NUMB field area : Ur-Šara , son of … ;"
755,tir eringarcanaka idab,the troops-of-Garšana-woods took in charge ;,forest Šum-bad-…
756,NUMB GAN ug luga,"NUMB aš-c- ( worker ) , ‘field’ , porter : Luga ,",NUMB ( workman ) porter : Lu-gamu .
757,NUMB GAN urdumuzida dumu urmes,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Dumuzida , son of Ur-mes ,","NUMB field area : Ur-mes , the son of Ur-mes ."
758,tir canintina idab,the Midst-of-Nintina-woods took in charge ;,forest Šum-bad-…
759,NUMB GAN cakusig,"NUMB aš-c- ( worker ) , ‘field’ : Šakusig ,","NUMB field area ( sowed with ) NUMB ,"
760,NUMB urnigar,"NUMB aš- ( worker ) : Ur-nigar ,","NUMB Ur-nigar ,"
761,NUMB luebgal,"NUMB diš- ( worker ) : Lu-ebgal ,","NUMB ( mana wool for ) Lu-ebgal ,"
762,tir gabarigarcanaka idab,the Copy-of-Garšana-woods took in charge ;,forest Šum-bad-…
763,tir macukudiri gu i namhani idab,"the Extra-prebend-boat-woods , bank of the Namḫani-waterway , took in charge ;",forest Šum-bad-…
764,NUMB ARADcara dumuni,"NUMB diš- ( worker ) : ARAD-Šara , his son ,","( and ) NUMB ( for ) ARAD-Šara , her daughter ;"
765,dumu handa nukiri,"son of Ḫanda , the orchardman ,",the son of Ilamlammuma
766,tir ukunuti gu i culgihegal idab,"the Ukunuti-woods , bank of the Šulgi-ḫegal-waterway , took in charge ;",forest Šum-bad-…
767,NUMB GAN abagina dumu urnigar dumu da,"NUMB aš-c- ( worker ) , ‘field’ : Abba-gina , son of Ur-nigar , son of Dayya ,","NUMB field area : Ur-nigar , son of Ur-nigar ,"
768,ime taka,"remainder of the preceding year ,",remainder of the previous year :
769,tir iribura idab,the Bura-town-woods took in charge ;,forest Šum-bad-…
770,NUMB GAN lalmes,"NUMB aš-c- ( worker ) , ‘field’ : Lal-mes ,","NUMB field area ( sowed with ) NUMB ,"
771,tir aduganigin idab,the Aduganigin-woods took in charge ;,forest Šum-bad-…
772,NUMB GAN abudu,"NUMB aš-c- ( worker ) , ‘field’ : Abu-ṭab ,","NUMB field area ( sowed with ) NUMB ,"
773,tir garsuda idab,the Garsuda-woods took in charge ;,forest Šum-bad-…
774,NUMB GAN lugaldaga,"NUMB aš-c- ( worker ) , ‘field’ : Lugal-daga ,","NUMB field area ( sowed with ) NUMB ,"
775,uc amaki pa urnigar,"dead : Ama-ki , oldest brother of Ur-nigar ,","dead : Ur-nigar ,"
776,tir GANmac idab,the GANmaš-woods took in charge ;,forest Šum-bad-…
777,ugula urcara,foreman : Ur-Šara ;,foreman : Ur-Šara ;
778,cunigin NUMB GAN guruc ugula,"total : NUMB aš-c- ( workers ) , ‘field’ corporate slaves , foremen ;",total : <10 bur3> 3/4! iku surface area at NUMB each ;
779,cunigin NUMB dumunita diri,total : NUMB extra male child ;,total : NUMB extra …
780,cunigin NUMB dumunita,total : NUMB diš- ( worker ) male child ;,"total : NUMB son ,"
781,cunigin NUMB guruc cugi,"total : NUMB diš-corporate slave , old NUMB ;","Total : NUMB old jenny ,"
782,ugula idab,the foreman took in charge ;,foreman : took ;
783,cunigin NUMB GAN guruc,"total : NUMB aš-c- ( workers ) , ‘field’ , corporate slaves ;",total : <10 bur3> 3/4! iku surface area at NUMB each ;
784,cunigin NUMB guruc nudab,"total : NUMB aš-c- ( worker ) , corporate slave , not took in charge ;","total : NUMB male laborers , NUMB …"
785,cunigin NUMB dumunita,"total : NUMB aš- ( workers ) , male children ;","total : NUMB son ,"
786,cunigin NUMB dumunita,"total : NUMB diš- ( workers ) , male children ;","total : NUMB son ,"
787,cunigin NUMB guruc cugi,"total : NUMB diš- ( workers ) , corporate slaves , old ones ;","Total : NUMB old jenny ,"
788,cunigin NUMB guruc zah,"total : NUMB aš- ( worker ) , corporate slave , flown ;","Together : NUMB , NUMB workdays"
789,cunigin NUMB guruc nudab,"total : NUMB aš- ( worker ) , corporate slave , not took in charge ;","total : NUMB male laborers , NUMB …"
790,cunigin NUMB dumunita nudab,"total : NUMB diš- ( workers ) , male children , not passed by ;",total : NUMB son of …
791,cunigin NUMB GAN ug guruc,"total : NUMB aš-c- ( workers ) , ‘field’ , porters , corporate slaves ;","total : NUMB ,"
792,cunigin NUMB ug guruc NUMB sila ce NUMB mana sikita,"total : NUMB aš- ( worker ) , porter , corporate slave at NUMB sila3 barley NUMB mana wool each ;","total : NUMB male laborers , NUMB mana wool each ;"
793,ugILme,—they are porters— ;,"( for ) the porters ,"
794,cebi NUMB sila,"their barley : NUMB sila3 ,","the barley involved : NUMB sila3 ,"
795,itida bedam,to be distributed monthly ;,Monthly Za'ul .
796,sikibi NUMB mana,"their wool NUMB mana ,","its wool : NUMB mana ,"
797,mua bedam,to be distributed yearly ;,"of silver , in NUMB of silver ,"
798,gurum ak erin daba lu tira,inspection of the troops passed by as foresters :,"inspection of dab , Daga… ,"
799,akala ensi umma,"Ayakalla , ensi of Umma ;",governor of Umma :
800,giri catakuzu sukkal,"via Šata-kuzu , the sukkal ,","via Šarrum-ilī , the messenger ,"
801,luinanna sukkal,"Lu-Inanna , the sukkal ,","Lu-Inanna , the messenger ,"
802,u lunanna dumu inimcara,"and Lu-Nanna , son of Inim-Šara ;","and Lu-Nanna , son of Inim-Šara ;"
803,iti ezemdumuzi,"month : “ Dumuzi festival , ”","month “ Festival of Dumuzi , ”"
804,mu enuneamarsuenrakiag en eridu bahun,Year : “ Ennune-Amar-Suenra-ki’ag as priest of Eridu was installed . ”,year : “ the en-priest of Eridu was installed . ”
805,NUMB ninda gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda the length , NUMB cubits the width , NUMB cubits the depth ,",NUMB ninda NUMB cubits the length ;
806,acabi NUMB sar NUMB gin,its volume : NUMB sar NUMB shekels ;,"a man has hired a 60-gur boat ,"
807,NUMB ninda NUMB kuc gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda NUMB cubits the length , NUMB cubits the width , NUMB cubits the depth ,",NUMB ninda NUMB cubits the length ;
808,acabi NUMB sar la NUMB gin,its volume : NUMB sar NUMB shekel ;,"NUMB sar NUMB shekels ,"
809,NUMB ninda gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda the length , NUMB cubits the width , NUMB cubit the depth ,",NUMB ninda NUMB cubits the length ;
810,acabi NUMB sar,its volume : NUMB sar ;,"a man has hired a 60-gur boat ,"
811,NUMB ninda NUMB kuc gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda NUMB cubit the length , NUMB cubits the width , NUMB cubits the depth ,",NUMB ninda NUMB cubits the length ;
812,acabi NUMB gin,its volume : NUMB shekels ;,"a field shekels ,"
813,NUMB ninda gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda the length , NUMB cubits the width , NUMB cubits the depth ;",NUMB ninda NUMB cubits the length ;
814,NUMB ninda NUMB kuc gid nuak,NUMB ninda NUMB cubits the length ; ( the measurements are ) unfinished ;,"NUMB ninda NUMB cubits NUMB “ fists ” , the length ;"
815,NUMB ninda NUMB kuc gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda NUMB cubit the length , NUMB cubits the width , NUMB cubits the depth ;",NUMB ninda NUMB cubits the length ;
816,acabi NUMB sar NUMB gin,its volume NUMB sar NUMB shekels ;,"a man has hired a 60-gur boat ,"
817,NUMB gin DUBla,NUMB shekels DUBla ;,"NUMB shekels … grains of silver ,"
818,cunigin NUMB sar NUMB gin kin sahar,total : NUMB sar NUMB shekel earthwork .,total : NUMB ( volume- ) sar soil ;
819,imdua e niglagarka,pisé walls for the household of Nig-lagar .,for the weaving-houses
820,NUMB guruc u NUMB,"NUMB laborer days ,","NUMB male laborer workdays ,"
821,kisu aca manu,at the threshing floor of the field Willow stationed ;,from the threshing floor of the field willow ;
822,ugula urmes,"foreman : Ur-mes ,","foreman : Urmes ,"
823,giri tugac,via Tugaš ;,via Intake ;
824,NUMB udu niga,NUMB grain-fed ram,"NUMB grain-fed ram ,"
825,guza ena,"( for ) the throne of the high-priestess ,",throne of dust .
826,giri nursuen sagi,"via Nur-Suen , the “ cup-bearer , ”","via cup-bearer , the enforcer ;"
827,babancen mackim,Babanšen the responsible official ;,"Babanšen , responsible official ;"
828,ki culgiamuta bazi,from ( the account of ) Šulgi-ayamu booked out ;,Booked out of Šulgi-a'amu ( ’s account ) .
829,sipa unu,of shepherds and cowherds,shepherds and cowherds
830,kinunir,"of Kinunir ,","Kinunir ,"
831,u sagapin e ninhursag,"and the head-plowmen of the house of Ninḫursag ,","and head-ploughmen of the house of Ninḫursag ,"
832,mu harci kimac bahul,"year : “ Ḫarši , Kimaš were destroyed . ” NUMB",year : “ Ḫarši Kimaš were destroyed . ”
833,enancekiag,"En-Nanše-kiag ,","Babati ,"
834,abamu,"of Abbamu ,","Abbamu ,"
835,giri atu,"via Atu ,",via Atu ;
836,nigkak a buru a ente,"accounts of labor of harvest and labor of wintertime ,","accounts of wintertime , over NUMB months ,"
837,mu en nanna karzida bahun,year : “ The en- ( priestess ) of Nanna of Karzida was hired . ”,year : “ The priest of Nanna of Karzida was installed . ”
838,dumu idisuen,"son of Idī-Suen ,","son of Šū-Adda ,"
839,damgarne,of the exchange agents,of the merchants
840,dumu X,"son of Ilī-… ,",son of Ur-…
841,sagi ARADzu,"cupbearer , is your servant .","cupbearer ,"
842,ceba gu i nigindu,"barley rations of the bank of the waterway Nigin-du ,","barley rations ( of ) the shepherd’s helper ,"
843,NUMB sa gizi,NUMB bundles of good reed,"NUMB bundles , fodder-reed ,"
844,guniginba NUMB,"in bales of NUMB bundles each ,",in each bale : NUMB bundles ;
845,ki lugalmumanagta,"from Lugalmu-manag ,",from Turaya
846,kicib alulu,sealed tablet of Alulu .,under seal of Alulu ;
847,iti cekaragala,"Month : “ barley brought to the docks , ”","total : month “ Barley at the quay , ”"
848,mu en eridu bahun,year : “ priest of Eridu is installed . ”,Year : She was installed as en-priestess of Eridu
849,X,for Utu-… ;,of Nun-… ;
850,luduga,for Lu-duga ;,Lu-duga ;
851,X,for Lu-… ;,of Nun-… ;
852,"s,alia",for Ṣallīya ;,"Babati ,"
853,urbaba,for Ur-Baba ;,"Ur-Baba ,"
854,hulania,for Ḫullāniya ;,"Babati ,"
855,hablulu,for Ḫāblulu ;,"Babati ,"
856,suhucgi,for Suḫušgi ;,"Babati ,"
857,cuinanna,for Šū-Inanna ;,"Babati ,"
858,camu,for Šamu ;,"Babati ,"
859,cunigin NUMB sila kac saga cunigin NUMB sila kac du,total : NUMB sila3 fine beer ; total : NUMB sila3 common beer ;,"Together : NUMB ( ban ) NUMB sila fine beer , together : NUMB ( ban ) regular beer ,"
860,cunigin NUMB sila ninda cunigin NUMB sila cum,total : NUMB sila3 bread ; total : NUMB sila3 onions ;,total : NUMB sila3 bread ; total : NUMB sila3 onions ;
861,cunigin NUMB sila NUMB gin i cunigin NUMB sila NUMB gin naga,total : NUMB sila3 NUMB shekels oil ; total : NUMB sila3 NUMB shekels alkali-plant ;,total : NUMB sila3 NUMB shekels oil ; total : NUMB shekels alkali-plant .
862,niginba,grand totals,"grand totals ,"
863,guapin guba,"of plow-oxen , stationed ,","plow-oxen , stationed ,"
864,u cabrane,"and chief household administrators ,","and the chief household administrators ,"
865,NUMB masab NUMB,"NUMB masab-baskets at NUMB ban each ,",NUMB … NUMB …
866,nurma bansi,filled ? with pomegranates,"Babati ,"
867,tumalce,"to Tummal ,","Babati ,"
868,giri laqipu candana,"via Laqipu , the š . ;",via Lu-Gešbare ;
869,iti nigenlila,"month : “ that of Enlil , ”","Month : “ nesag offering , ”"
870,mu en enki bahun,year : “ the lord of Enki was hired . ”,year : “ The high-priestess of Enki was hired ; ”
871,NUMB sila NUMB gin ce gur X,"NUMB sila3 NUMB shekels barley … ,","NUMB sila3 NUMB shekels NUMB grains of silver ,"
872,a lu hunga acaga,wages of the hirelings of the field … ;,labor of the hired men ;
873,NUMB gur a lu hunga X,"NUMB  NUMB ( ? ) wages of the hirelings … ,","NUMB , wages of the hirelings , NUMB … ;"
874,laia nigkak,deficit of the account,deficit of the account ;
875,ARADdingira,of ARAD-dingira ( ? ) ;,"Babati ,"
876,atu dumu lugalsagake,"Atu , son of Lugal-saga","of Atu , son of Lugal-saga ,"
877,susudam,must replace it ;,be repaid ;
878,dumu lugalsaga,son of Lugal-saga .,"son of Lugalsaga ,"
879,NUMB dusumunus,"NUMB female equids ,","NUMB jennies ,"
880,cugi,"old ,","old jenny ,"
881,ki cuidimta,"from Šu-Idim ,",from Šu-Idim
882,cenumun,seed grain,"( for ) seed ,"
883,u GAN urua niginbabi,"and fields in plow , their grand totals",and NUMB field area …
884,mu en inanna mace ipa,year : “ The en- ( priest ) of Inanna by the goat was found . ”,year : “ The high-priest of Inanna was named . ”
885,NUMB udu niga barana,"NUMB sheep , barley-fed , for the dais of An ,","NUMB sheep , barley-fed , … ,"
886,NUMB udu niga NUMB us NUMB udu niga NUMB us,"NUMB sheep , barley-fed , of ordNUMB grade , NUMB sheep , barley-fed , of ordNUMB grade","NUMB grain-fed sheep , ordNUMB quality ,"
887,nanna,for Nanna ;,To Nanna
888,NUMB macgal niga NUMB us dublamah,"NUMB buck , barley-fed , of ordNUMB grade for Dublamaḫ ,","NUMB buck , barley-fed , of NUMB grade ,"
889,NUMB udu niga NUMB macgal niga gueusa,"NUMB sheep , barley-fed , NUMB bucks , barley-fed , “ following oxen , ”","NUMB sheep , barley-fed ; NUMB mature goat ,"
890,ezemana,“ Festival of An ” ;,for boat of An ;
891,NUMB udu niga NUMB us dur,"NUMB sheep , barley-fed , of ordNUMB grade , for “ Mound of the Roof ; ”","NUMB sheep of ordNUMB grade ,"
892,NUMB udu niga NUMB us NUMB udu niga NUMB us,"NUMB sheep , barley-fed , of ordNUMB grade , NUMB sheep , barley-fed , of ordNUMB grade ,","NUMB grain-fed sheep , ordNUMB quality ,"
893,nungal,for Nungal ;,"Babati ,"
894,NUMB udu niga dublamah,"NUMB sheep , barley-fed , for Dublamaḫ ;","NUMB sheep , barley-fed , at Dublamaḫ ,"
895,NUMB udu niga gueusa ANdur,"NUMB sheep , barley-fed , “ following oxen , ” for ANdur ;","NUMB sheep , grain-fed , “ following the ox , ”"
896,NUMB udu niga X culgi TUR X,"NUMB sheep , barley-fed , … , for Šulgi … ;","NUMB sheep , barley-fed , for Šulgi ,"
897,NUMB X dandanda,"NUMB … , for Dandanda ;","NUMB … for Geme2-an… ,"
898,NUMB X ningal X,"NUMB … , for Ningal … ;",NUMB … Ningal
899,NUMB gueusa ninuri,"NUMB ( sheep , barley-fed , ) “ following oxen , ” for Ninuri ;","NUMB “ attached to the ox , ”"
900,NUMB X X,NUMB … Šu-Suen-ki’ag … ;,NUMB …
901,NUMB X X,"NUMB … , for … ;",NUMB …
902,NUMB udu niga X,"NUMB sheep , barley-fed , for …-kalla ;","NUMB sheep , barley-fed , … ,"
903,NUMB udu niga X ninkununa,"NUMB sheep , barley-fed , … for Ninkununa ;","NUMB sheep , barley-fed , … ,"
904,NUMB udu niga NUMB us gula,"NUMB sheep , barley-fed , of ordNUMB grade , for Gula ;","NUMB sheep , grain-fed , ordNUMB grade ,"
905,NUMB udu niga NUMB sila ninegal,"NUMB sheep , barley-fed , NUMB lamb , for Nin-egal ;","NUMB sheep , grain-fed , NUMB lamb ,"
906,giri suenabucu sagi,"via Suen-abušu , cup-bearer ,","via cupbearer , responsible official ;"
907,ki abaenlilginta bazi,"booked out from Aba-Enlilgin ( ’s account ) ,","from Aba-Enlilgin ,"
908,giri urculgira carabdu,"via Ur-Šulgi , šarabdu ;","via Ur-Šulgira , the šatam-official , and Šu-Suen-idi-ili-mālik the šarabdu-official ;"
909,mu cusuen lugal urimake naruamah enlil ninlilra munedu,"year : “ Šu-Suen , king of Ur , the grand-stele for Enlil ( and ) Ninlil erected ; ”","Year “ Šu-Suen , king of Ur , erected grand-stele for Enlil and Ninlil . ”"
910,NUMB ud adara,"NUMB adara-nanny ,",NUMB young women
911,ki ludingira,from Ludingira,from Lu-dingira
912,catili,by Šat-ilī ;,"Babati ,"
913,NUMB lalkuda,10- ( troop ) of Lalkuda ;,NUMB ( mana wool for ) Ur-Urbartab
914,NUMB lahutum,NUMB bricks by Lahutum ;,NUMB ( mana wool for ) Ur-Urbartab
915,NUMB,"NUMB bricks ,","( Partial sum : ) NUMB , NUMB"
916,NUMB ahuni,10- ( troop ) of Ahuni ;,"NUMB Aḫuni ,"
917,cunigin NUMB sar NUMB gin NUMB sig,"total : NUMB ( brick ) -sar NUMB shekels bricks ,","together : NUMB sar NUMB shekels of brick ,"
918,a NUMB,"at labor of NUMB ( bricks per workday ) ,","labor of NUMB ( bricks per workday ) ,"
919,gemebi NUMB gin u NUMB,"the female laborers involved : NUMB and NUMB shekels workdays ,","the female laborers involved : NUMB days NUMB shekels ,"
920,ce NUMB silata bahun,"at NUMB sila3 per ( day ) hired ,","hired at NUMB sila3 barley each ( workday ) ,"
921,cebi NUMB sila NUMB gin,"the barley involved : NUMB sila3 NUMB shekels ,","the barley involved : NUMB sila3 NUMB shekels ,"
922,a sig gaga,"labor of carrying bricks ,","labor of brick transportation ,"
923,ekibagara picahdingir,"( for ) the replacement house of Pišah-ilim ,",for the replacement house of
924,muku mea,"delivery of Simat-Ea ,",delivery of whom received
925,giri ickurtillat,via Adad-tillatī ;,via Intake ;
926,mu cusuen lugale naruamah enlil ninlilra munedu,"year : “ Su-Suen , the king , Great-stele for Enlil and Ninlil erected . ”","year : “ Šu-Suen , the king , erected great-stele for Enlil and Ninlil . ”"
927,culgikiursakalamaka,Šulgi-ki'ursa-kalama,"Babati ,"
928,lu tagani,"his person in charge of sacrifices ,",to another man
929,alanani,a statue of him ( Šulgi ),a statue of him
930,mudu,he created .,build .
931,alana,The statue :,"Babati ,"
932,a cuma,Given Strength,given supreme power
933,nindara,"by Nindara ,","For Nindara ,"
934,zicagal irina,"The Inspiration of His City ,","sheep skins “ ( soaked ) with madder , ”"
935,KA bura,"the opening ( ? ) of the bowl ,","… ” ,"
936,ki anaka aba cu tum,dealing with the cows in the Place of An .,from Lower Sea
937,u ezemaka,On the day of the festival,"and …-zi ,"
938,e ninmarka,"in the temple of Ninmar ,",house of Ninmar ;
939,sag kisala daba,when the first ( offerings ? ) are taken into the courtyard :,"seized , the weapons ;"
940,NUMB dug dida,"NUMB jugs of sweet-wort ,","NUMB jugs of common dida-beer ,"
941,NUMB dug kac,"NUMB jugs of beer ,","NUMB beer , the jug of wort ,"
942,NUMB zi lugal,"NUMB and NUMB of royal flour ,","NUMB of flour , ( according to the ) royal ( measure ) ,"
943,NUMB gada gadul,NUMB linen cover,"NUMB linens , head ,"
