,Sumerian - Input,English - Exact,English - Predicted
646,e ucbar egal,"house of weavers of the palace ,","They are the weavers , the house of the weavers ;"
647,u e ucbar nindingir,and house of weavers of the priestess,and the Iturungal temple of the weavers ;
648,baba,"of Baba ,","Baba ,"
649,luinimnigsaga,"Lu-inimnigsaga ,","say ,"
650,cuera,"Šu-Erra ,",( for ) Šu-Erra ;
651,muhaldim lugal,"royal cook ,",For the replacement g .
652,dumu zakili,"son of Zak-ilī ,","son of Luba ,"
653,NUMB uztur,"NUMB duck ,","NUMB PAda ,"
654,NUMB ir,"NUMB pigeon ,","NUMB PAda ,"
655,NUMB tugur,"NUMB dove ,",( and ) NUMB ( for ) Mašgula
656,NUMB cahNEturnitagecgi,"NUMB male piglet , canebrake type ,","NUMB PAda ,"
657,nigu ningace,for food of my queen ;,"x-agazi ,"
658,egala banku,brought to the palace ;,"into the palace brought ,"
659,itita u NUMB bazal,of the month the ordNUMB day passed ;,of the month day NUMB elapsed ;
660,urlugaledina,of Ur-Lugaledina ( ’s account ) ;,"say ,"
661,iti kisiki ninazu,"month : “ ki-siki-of-Ninazu , ”","to month “ Gazelle-Feast , ”"
662,babara X,"Babara … ,",the god …
663,dumu X,"son of Lu-… ,",son of Lugal-… .
664,kicib ce ziga,"sealed documents , grain , credits ,",grain of barley raised
665,nurickur,"to Nūr-Adda ,","to Abī-abiḫ ,"
666,sadu cara cupalil,"regular offering for Šara … ,",regular offerings of Šara of the female workers ;
667,guedinata,from Gu-edina,from Gu’ednina
668,ki egalesita,from Egalesi,"from Ur-Ḫalmuša ,"
669,hala cu bati,did Ḫala receive ;,bowing down ;
670,iti nesagce,"to the month “ First-fruit offering , ”",through the month “ nesag sacrifice ” >> .
671,mu usa cacru bahul,year after : “ Šašru was destroyed . ”,year following : “ Šašru was destroyed . ”
672,hala,"Ḫala ,","Waburtum ,"
673,dumu lugalemah,"son of Lugal-emaḫ ,",son of Lugal-emaḫ .
674,lu lunga cara,brewer of Šara .,A person who an temple of wickedness
675,uc ursilaluh,"Dead : Ur-silaluḫ ,",remainder for the dogs .
676,NUMB GAN eurbidu ugula,"NUMB aš-c- ( worker ) , ‘field’ : E-urbidu , a foreman ,","NUMB , Inimanizi , field , inspected ;"
677,NUMB GAN girinisa,"NUMB aš-c- ( worker ) , ‘field’ : Girini-isa ,","NUMB , harrowed"
678,dumunime,"—they are his sons— ,","being her children ,"
679,NUMB GAN urgectinanka,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Geštinanka ,","NUMB surface , fallow ;"
680,NUMB lusukkalanka,"NUMB diš- ( worker ) : Lu-Sukkalanka ,","NUMB PAda ,"
681,tir kisura idab,the Border-woods took in charge ;,Lugal-šunire accepted ;
682,NUMB ug dugani,"NUMB aš-c- ( worker with rations of ) NUMB ( sila3 barley ) , NUMB ( mana wool ) , porter : Dugani ,",NUMB ( workman ) porter : Lu-gamu .
683,tir cunamugi idab,the Šunamugi-woods took in charge ;,Dan-Šulgi accepted .
684,NUMB GAN inimcara,"NUMB aš-c- ( worker ) , ‘field’ : Inim-Šara ,","NUMB , Ermu ,"
685,NUMB lugalinimgina dumuni,"NUMB diš- ( worker ) : Lugal-inim-gina , his son ,","( and ) NUMB ( for ) Nin-kuzu , her daughter ;"
686,tir akunkum idab,the Akunkum-woods took in charge ;,Dan-Šulgi accepted .
687,cu uraba,"old : Ur-abba ,","has lain ,"
688,NUMB GAN lucara dumuni,"NUMB aš-c- ( worker ) , ‘field’ : Lu-Šara , his son ,","NUMB the surface of Lu-Šara , her son ;"
689,tir kamari idab,the Kamari-woods took in charge ;,Dan-Šulgi accepted .
690,uc lugalitida,"dead : Lugal-itida ,",Lugal-itida ;
691,NUMB GAN lugina,"NUMB aš-c- ( worker ) , ‘field’ : Lu-gina ,","NUMB , NUMB , prebend of"
692,NUMB ahubaqar,"NUMB aš- ( worker ) : Aḫu-baqar ,","NUMB PAda ,"
693,uc lucara,"dead : Lu-Šara ,",The foreman is Lu-Šara .
694,NUMB atanah,"NUMB diš- ( worker ) : Atannaḫ ,","NUMB PAda ,"
695,tir aca amri idab,the Amri-field-woods took in charge ;,Lugal-šunire received ;
696,NUMB GAN luabu,"NUMB aš-c- ( worker ) , ‘field’ : Lu-Abu ,","NUMB surface , fallow ;"
697,NUMB luebgal,"NUMB aš- ( worker ) : Lu-ebgal ,","NUMB , Lu-eb ,"
698,NUMB luenkidu,"NUMB diš- ( worker ) : Lu-Enkidu ,","NUMB PAda ,"
699,dumu dadaga,"—sons of Dayadaga— ,","son of Dadaga ,"
700,tir ula idab,the Ula-woods took in charge ;,Lugal-šunire accepted .
701,NUMB GAN ug adudu,"NUMB aš-c- ( worker ) , ‘field’ , porter : Adudu ,",NUMB field of Weir-field of Dingira .
702,NUMB lugalkuzu dumuni,"NUMB diš- ( worker ) : Lugal-kuzu , his son ,","( and ) NUMB ( for ) Lugal-kuzu , her daughter ;"
703,tir kirimah idab,the Big-orchard-woods took in charge ;,Lugal-šunire accepted .
704,NUMB nu GAN inimanizi,"NUMB aš-c- ( worker ) , ( no! ) , ‘field’ : Inimanizi ,","NUMB , Inimanizi ,"
705,NUMB nu uremah,"NUMB aš- ( worker ) ( no! ) : Ur-Emaḫ ,","NUMB foot-stool of šakal-wood ,"
706,NUMB nu utusaga,"NUMB diš- ( worker ) ( no! ) : Utu-saga ,","NUMB foot-stool of fig-tree trees ,"
707,NUMB nu ururbartab,"NUMB diš- ( worker ) ( no! ) : Ur-Urbartab ,","NUMB foot-stool of Ea-malik ,"
708,tir i dula idab,the Dula-waterway-woods took in charge ;,Lugal-šunire accepted .
709,NUMB cagubi zah,"NUMB aš-c- ( worker ) : Šagubi , flown ,","NUMB Du-ilī ,"
710,tir aca carasi idab,the Šarasi-field-woods took in charge ;,Lugal-šunire received ;
711,NUMB GAN uremac dumu ursilaluh,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Emaš , son of Ur-silaluḫ ,","NUMB surface of mountainland , its rear : Tira’aš ,"
712,tir daguna idab,the Daguna-woods took in charge ;,Dan-Šulgi accepted .
713,ugula eurbidu,foreman : E-urbidu ;,foreman : Dudumu
714,NUMB GAN ceckala ugula,"NUMB aš-c- ( worker ) , ‘field’ : Šeškalla , foreman ,","NUMB , NUMB ram , foreman : the foreman ;"
715,NUMB inimanizi dumuni,"NUMB diš- ( worker ) : Inimanizi , his son ,","( and ) NUMB Inimanizi , her child ;"
716,NUMB GAN lugalhili,"NUMB aš-c- ( worker ) , ‘field’ : Lugal-ḫili ,","NUMB surface , fallow ;"
717,NUMB carazida,"NUMB aš- ( worker ) : Šara-zida ,",NUMB Lu’u-nusa ;
718,NUMB luabu,"NUMB diš- ( worker ) : Lu-Abu ,","NUMB PAda ,"
719,dumu alume,"—they are sons of Allu— ,","son of Luba ,"
720,tir elugal idab,the Royal-house-woods took in charge ;,Dan-Šulgi accepted .
721,NUMB GAN akala dumu urtulmah,"NUMB aš-c- ( worker ) , ‘field’ : Akalla , son of Ur-tulmaḫ ,",NUMB field area : field of Lugal-kiri6 ;
722,NUMB girinisa dumuni,"NUMB diš- ( worker ) : Girini-isa , his son ,","( and ) NUMB ( for ) Geme-edara , her daughter ;"
723,tir kara idab,the Quay-woods took in charge ;,Lugal-šunire accepted .
724,NUMB GAN ceckala,"NUMB aš-c- ( worker ) , ‘field’ : Šeškalla ,",NUMB the surface ( of ) Šeškala ;
725,NUMB lugalhegal dumuni,"NUMB aš- ( worker ) : Lugal-ḫegal , his son ,","NUMB Lugal-ḫegal , her daughter ,"
726,tir masar idab,the Masar-woods took in charge ;,Dan-Šulgi accepted .
727,NUMB GAN ludingira dumu urlugal,"NUMB aš-c- ( worker ) , ‘field’ : Lu-dingira , son of Ur-lugal ,",NUMB field area : prebend of E’asilu ;
728,tir turuda idab,the Turuda-woods took in charge ;,Dan-Šulgi accepted .
729,NUMB GAN ug lugalhegal dumu urgu,"NUMB aš-c- ( worker ) , ‘field’ , porter : Lugal-ḫegal , son of Ur-gu ,","NUMB field area : Lu-Šara , son of Lugal-bad ;"
730,NUMB luninazu dumuni,"NUMB diš- ( worker ) : Lu-Ninazu , his son ,","( and ) NUMB ( for ) Geme2-turniše , her child ,"
731,tir nagsu idab,the Nagsu-woods took in charge ;,Dan-Šulgi accepted .
732,NUMB GAN lugalzage,"NUMB aš-c- ( worker ) , ‘field’ : Lugal-zage ,","NUMB surface , fallow ;"
733,NUMB lunanna dumuni,"NUMB diš- ( worker ) : Lu-Nanna , his son ,","( and ) NUMB ( for ) Namninani , her daughter ;"
734,tir girgec idab,the Girgeš-woods took in charge ;,Dan-Šulgi accepted .
735,NUMB GAN urnigar,"NUMB aš-c- ( worker ) , ‘field’ : Ur-nigar ,","NUMB , Ur-nigar ,"
736,NUMB ata dumuni,"NUMB diš- ( worker ) : Ata , his son ,","( and ) NUMB ( for ) Geme2-turniše , her child ;"
737,tir inime idab,the Inime-woods took in charge ;,Dan-Šulgi accepted .
738,cu abasaga,"old : Abba-saga ,",has received .
739,tir balatimdurun idab,the Bala’atimdurun-woods took in charge ;,Dan-Šulgi accepted .
740,NUMB GAN carakam,"NUMB aš-c- ( worker ) , ‘field’ : Šara-kam ,","NUMB surface , inspected ;"
741,tir kisura adab idab,the Kisura-of-Adab-woods took in charge ;,"Lugal-šunire , the messenger , in the land of Anšan ;"
742,NUMB GAN bansa,"NUMB aš-c- ( worker ) , ‘field’ : Bansa ,","NUMB surface , fallow ;"
743,NUMB ursukkal dumuni,"NUMB diš- ( worker ) : Ur-sukkal , his son ,","( and ) NUMB ( for ) Mama , her daughter ,"
744,tir zabala idab,the Zabala-woods took in charge ;,Dan-Šulgi accepted .
745,ugula ceckala,foreman : Šeškalla ;,"the foreman : Šeškala ,"
746,NUMB GAN ug urgigir,"NUMB aš-c- ( worker ) , ‘field’ , porter : Ur-gigir ,",NUMB area : the surface of Ur-gigir ;
747,tir i gala idab,the Big-waterway-woods took in charge ;,Dan-Šulgi accepted .
748,cu urcara dumu ARAD,"old : Ur-Šara , son of ARAD ,","did Lu-šalim , son of Nasilim ."
749,NUMB GAN luhegal,"NUMB aš-c- ( worker ) , ‘field’ : Lu-ḫegal ,","… surface , fallow ;"
750,NUMB halamami,"NUMB aš- ( worker ) : Ḫala-Mami ,","NUMB PAda ,"
751,uc ludingira,"dead : Lu-dingira ,",dead : Lu-dingira ;
752,NUMB lugalnesage,"NUMB diš- ( worker ) : Lugal-nesage ,","NUMB ( mana wool for ) Nin-inimgina ,"
753,tir garcanaka idab,the Garšana-woods took in charge ;,Dan-Šulgi accepted .
754,NUMB GAN urcara dumu idia,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Šara , son of Idi’a ,","NUMB field area : Ur-Šara , son of E’asilu ;"
755,tir eringarcanaka idab,the troops-of-Garšana-woods took in charge ;,Dan-Šulgi accepted .
756,NUMB GAN ug luga,"NUMB aš-c- ( worker ) , ‘field’ , porter : Luga ,",NUMB field area : field of Weir-field ;
757,NUMB GAN urdumuzida dumu urmes,"NUMB aš-c- ( worker ) , ‘field’ : Ur-Dumuzida , son of Ur-mes ,","NUMB field area : Ur-gigir , son of Ḫuwawa ;"
758,tir canintina idab,the Midst-of-Nintina-woods took in charge ;,Dan-Šulgi accepted .
759,NUMB GAN cakusig,"NUMB aš-c- ( worker ) , ‘field’ : Šakusig ,","NUMB surface , fallow ;"
760,NUMB urnigar,"NUMB aš- ( worker ) : Ur-nigar ,","NUMB , Ur-nigar ,"
761,NUMB luebgal,"NUMB diš- ( worker ) : Lu-ebgal ,","NUMB , Lu-eb ,"
762,tir gabarigarcanaka idab,the Copy-of-Garšana-woods took in charge ;,Dan-Šulgi accepted .
763,tir macukudiri gu i namhani idab,"the Extra-prebend-boat-woods , bank of the Namḫani-waterway , took in charge ;","Lugal-šunire , therefroms , of the bank of Ninmar ,"
764,NUMB ARADcara dumuni,"NUMB diš- ( worker ) : ARAD-Šara , his son ,","( and ) NUMB ( for ) Mama , her child ,"
765,dumu handa nukiri,"son of Ḫanda , the orchardman ,","son of the sukkalmaḫ ,"
766,tir ukunuti gu i culgihegal idab,"the Ukunuti-woods , bank of the Šulgi-ḫegal-waterway , took in charge ;","credits , sheep , … , enquiries , enquiries ;"
767,NUMB GAN abagina dumu urnigar dumu da,"NUMB aš-c- ( worker ) , ‘field’ : Abba-gina , son of Ur-nigar , son of Dayya ,","NUMB surface of Abbagina , son of Aribi ; son of"
768,ime taka,"remainder of the preceding year ,",in Ur-Sara was confirmed ;
769,tir iribura idab,the Bura-town-woods took in charge ;,Dan-Šulgi accepted .
770,NUMB GAN lalmes,"NUMB aš-c- ( worker ) , ‘field’ : Lal-mes ,","NUMB surface , fallow ;"
771,tir aduganigin idab,the Aduganigin-woods took in charge ;,Dan-Šulgi accepted .
772,NUMB GAN abudu,"NUMB aš-c- ( worker ) , ‘field’ : Abu-ṭab ,","NUMB surface , fallow ;"
773,tir garsuda idab,the Garsuda-woods took in charge ;,Dan-Šulgi accepted .
774,NUMB GAN lugaldaga,"NUMB aš-c- ( worker ) , ‘field’ : Lugal-daga ,","NUMB surface , fallow ;"
775,uc amaki pa urnigar,"dead : Ama-ki , oldest brother of Ur-nigar ,","before : “ beer-drinking of the Ur-nigar , ”"
776,tir GANmac idab,the GANmaš-woods took in charge ;,Dan-Šulgi accepted .
777,ugula urcara,foreman : Ur-Šara ;,"foreman : Ur-Šara ,"
778,cunigin NUMB GAN guruc ugula,"total : NUMB aš-c- ( workers ) , ‘field’ corporate slaves , foremen ;","total : NUMB , NUMB , NUMB foreman ,"
779,cunigin NUMB dumunita diri,total : NUMB extra male child ;,"total : NUMB Ninzi-irina , Ninzi-irina ,"
780,cunigin NUMB dumunita,total : NUMB diš- ( worker ) male child ;,"total : NUMB Ninzi-irina Ninzi-irina ,"
781,cunigin NUMB guruc cugi,"total : NUMB diš-corporate slave , old NUMB ;","total : NUMB old workers ,"
782,ugula idab,the foreman took in charge ;,foreman : …-gala ;
783,cunigin NUMB GAN guruc,"total : NUMB aš-c- ( workers ) , ‘field’ , corporate slaves ;","total : NUMB surface , inspected ;"
784,cunigin NUMB guruc nudab,"total : NUMB aš-c- ( worker ) , corporate slave , not took in charge ;",total : NUMB male mule for the yoke ;
785,cunigin NUMB dumunita,"total : NUMB aš- ( workers ) , male children ;","total : NUMB Ninzi-irina Ninzi-irina ,"
786,cunigin NUMB dumunita,"total : NUMB diš- ( workers ) , male children ;","total : NUMB Ninzi-irina Ninzi-irina ,"
787,cunigin NUMB guruc cugi,"total : NUMB diš- ( workers ) , corporate slaves , old ones ;","total : NUMB old workers ,"
788,cunigin NUMB guruc zah,"total : NUMB aš- ( worker ) , corporate slave , flown ;","total : NUMB male laborer workdays ,"
789,cunigin NUMB guruc nudab,"total : NUMB aš- ( worker ) , corporate slave , not took in charge ;",total : NUMB male mule for the yoke ;
790,cunigin NUMB dumunita nudab,"total : NUMB diš- ( workers ) , male children , not passed by ;","together : NUMB first-born chair ,"
791,cunigin NUMB GAN ug guruc,"total : NUMB aš-c- ( workers ) , ‘field’ , porters , corporate slaves ;",total : NUMB surface area ;
792,cunigin NUMB ug guruc NUMB sila ce NUMB mana sikita,"total : NUMB aš- ( worker ) , porter , corporate slave at NUMB sila3 barley NUMB mana wool each ;",total : NUMB fish ; NUMB sila3 barley ;
793,ugILme,—they are porters— ;,"( for ) the porters ,"
794,cebi NUMB sila,"their barley : NUMB sila3 ,",the barley involved : NUMB sila3 ;
795,itida bedam,to be distributed monthly ;,"like lacking ,"
796,sikibi NUMB mana,"their wool NUMB mana ,",its silver : NUMB mana ;
797,mua bedam,to be distributed yearly ;,"but that man’s tooth ,"
798,gurum ak erin daba lu tira,inspection of the troops passed by as foresters :,"ex-voto of ) troops , silver , ( and ) seized ;"
799,akala ensi umma,"Ayakalla , ensi of Umma ;","Ayakalla , the governor of Umma ;"
800,giri catakuzu sukkal,"via Šata-kuzu , the sukkal ,","via Bilila , the messenger ;"
801,luinanna sukkal,"Lu-Inanna , the sukkal ,","Lu-Utu , the messenger ,"
802,u lunanna dumu inimcara,"and Lu-Nanna , son of Inim-Šara ;","and Lu-Nanna , son of Inim-Šara ;"
803,iti ezemdumuzi,"month : “ Dumuzi festival , ”","month “ Festival of Dumuzi , ”"
804,mu enuneamarsuenrakiag en eridu bahun,Year : “ Ennune-Amar-Suenra-ki’ag as priest of Eridu was installed . ”,year : “ The high-priestess of Eridu was hired . ”
805,NUMB ninda gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda the length , NUMB cubits the width , NUMB cubits the depth ,","NUMB ninda long …-hides , NUMB cubits per width ;"
806,acabi NUMB sar NUMB gin,its volume : NUMB sar NUMB shekels ;,"per … NUMB ( volume ) shekels ,"
807,NUMB ninda NUMB kuc gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda NUMB cubits the length , NUMB cubits the width , NUMB cubits the depth ,",NUMB ninda NUMB cubits the length ; … ;
808,acabi NUMB sar la NUMB gin,its volume : NUMB sar NUMB shekel ;,"per … NUMB of malt ,"
809,NUMB ninda gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda the length , NUMB cubits the width , NUMB cubit the depth ,","NUMB ninda long …-hides , NUMB cubits per width ;"
810,acabi NUMB sar,its volume : NUMB sar ;,NUMB …
811,NUMB ninda NUMB kuc gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda NUMB cubit the length , NUMB cubits the width , NUMB cubits the depth ,",NUMB ninda NUMB cubits the length ; … ;
812,acabi NUMB gin,its volume : NUMB shekels ;,per a field NUMB shekels of it ;
813,NUMB ninda gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda the length , NUMB cubits the width , NUMB cubits the depth ;","NUMB ninda long …-hides , NUMB cubits per width ;"
814,NUMB ninda NUMB kuc gid nuak,NUMB ninda NUMB cubits the length ; ( the measurements are ) unfinished ;,NUMB ninda NUMB cubits the length ;
815,NUMB ninda NUMB kuc gid NUMB kuc dagal NUMB kuc bur,"NUMB ninda NUMB cubit the length , NUMB cubits the width , NUMB cubits the depth ;",NUMB ninda NUMB cubits the length ; … ;
816,acabi NUMB sar NUMB gin,its volume NUMB sar NUMB shekels ;,"per … NUMB ( volume ) shekels ,"
817,NUMB gin DUBla,NUMB shekels DUBla ;,NUMB shekels of suhe ;
818,cunigin NUMB sar NUMB gin kin sahar,total : NUMB sar NUMB shekel earthwork .,"NUMB , NUMB shekels of soil ,"
819,imdua e niglagarka,pisé walls for the household of Nig-lagar .,"the House of the soldiers ,"
820,NUMB guruc u NUMB,"NUMB laborer days ,",NUMB male laborers for NUMB day
821,kisu aca manu,at the threshing floor of the field Willow stationed ;,at the threshing floor of the field GAN-maḫ ;
822,ugula urmes,"foreman : Ur-mes ,","foreman : Urmes ,"
823,giri tugac,via Tugaš ;,"via Lu-Ḫurim ,"
824,NUMB udu niga,NUMB grain-fed ram,"NUMB sheep , barley-fed ,"
825,guza ena,"( for ) the throne of the high-priestess ,",the throne of them
826,giri nursuen sagi,"via Nur-Suen , the “ cup-bearer , ”","via Nur-Suen , the fattener ;"
827,babancen mackim,Babanšen the responsible official ;,"Babanšen , responsible official ;"
828,ki culgiamuta bazi,from ( the account of ) Šulgi-ayamu booked out ;,Booked out of Šulgi-a'amu ( ’s account ) .
829,sipa unu,of shepherds and cowherds,"of shepherds , cattle herdsmen"
830,kinunir,"of Kinunir ,","Kinunir ,"
831,u sagapin e ninhursag,"and the head-plowmen of the house of Ninḫursag ,","and head-plowmen of the house of Ninḫursag ,"
832,mu harci kimac bahul,"year : “ Ḫarši , Kimaš were destroyed . ” NUMB","year : “ Ḫarši , Kimaš were destroyed . ”"
833,enancekiag,"En-Nanše-kiag ,","say ,"
834,abamu,"of Abbamu ,",of Aḫuni
835,giri atu,"via Atu ,",via Atu ;
836,nigkak a buru a ente,"accounts of labor of harvest and labor of wintertime ,","accounts of the labor of the production of long sickles ,"
837,mu en nanna karzida bahun,year : “ The en- ( priestess ) of Nanna of Karzida was hired . ”,year : “ The high-priestess of Nanna in Karzida was hired . ”
838,dumu idisuen,"son of Idī-Suen ,","son of Luba ,"
839,damgarne,of the exchange agents,of the merchants
840,dumu X,"son of Ilī-… ,",son of Lugal-… .
841,sagi ARADzu,"cupbearer , is your servant .","Šulgi-mudaḫ , your servant ."
842,ceba gu i nigindu,"barley rations of the bank of the waterway Nigin-du ,","barley rations of the bank of the waterway Pirig-gindu ,"
843,NUMB sa gizi,NUMB bundles of good reed,"NUMB bundles of fodder reed ,"
844,guniginba NUMB,"in bales of NUMB bundles each ,",its bala : NUMB ;
845,ki lugalmumanagta,"from Lugalmu-manag ,","from Ur-Ḫalmuša ,"
846,kicib alulu,sealed tablet of Alulu .,under seal of Alulu ;
847,iti cekaragala,"Month : “ barley brought to the docks , ”",month : “ Barley at the quay ; ”
848,mu en eridu bahun,year : “ priest of Eridu is installed . ”,year : “ The high-priestess of Eridu was hired . ”
849,X,for Utu-… ;,"Ur-Gal-… ,"
850,luduga,for Lu-duga ;,"Lu-duga ,"
851,X,for Lu-… ;,"Ur-Gal-… ,"
852,"s,alia",for Ṣallīya ;,"say ,"
853,urbaba,for Ur-Baba ;,"Ur-Baba ,"
854,hulania,for Ḫullāniya ;,"say ,"
855,hablulu,for Ḫāblulu ;,"say ,"
856,suhucgi,for Suḫušgi ;,"say ,"
857,cuinanna,for Šū-Inanna ;,"say ,"
858,camu,for Šamu ;,"say ,"
859,cunigin NUMB sila kac saga cunigin NUMB sila kac du,total : NUMB sila3 fine beer ; total : NUMB sila3 common beer ;,"total : NUMB sila3 fine beer , total : NUMB sila3 beer ;"
860,cunigin NUMB sila ninda cunigin NUMB sila cum,total : NUMB sila3 bread ; total : NUMB sila3 onions ;,total : NUMB sila3 bread ; total : NUMB sila3 onions ;
861,cunigin NUMB sila NUMB gin i cunigin NUMB sila NUMB gin naga,total : NUMB sila3 NUMB shekels oil ; total : NUMB sila3 NUMB shekels alkali-plant ;,total : NUMB sila3 NUMB shekels oil ; total : NUMB sila3 NUMB shekels alkali-plant ;
862,niginba,grand totals,"grand totals ,"
863,guapin guba,"of plow-oxen , stationed ,","plow-oxen , stationed ,"
864,u cabrane,"and chief household administrators ,",and the plot manager ;
865,NUMB masab NUMB,"NUMB masab-baskets at NUMB ban each ,","NUMB geese , NUMB ( = NUMB sila3 )"
866,nurma bansi,filled ? with pomegranates,"x-agazi ,"
867,tumalce,"to Tummal ,","say ,"
868,giri laqipu candana,"via Laqipu , the š . ;","via Igi'aya , the leatherworker ."
869,iti nigenlila,"month : “ that of Enlil , ”","month “ Gazelle-Feast , ”"
870,mu en enki bahun,year : “ the lord of Enki was hired . ”,year : “ The high-priest of Nanna was installed . ”
871,NUMB sila NUMB gin ce gur X,"NUMB sila3 NUMB shekels barley … ,","NUMB sila3 NUMB shekels of …-oil ,"
872,a lu hunga acaga,wages of the hirelings of the field … ;,labor of the hired men of the female laborers ;
873,NUMB gur a lu hunga X,"NUMB  NUMB ( ? ) wages of the hirelings … ,","NUMB fullers … , labor of … ;"
874,laia nigkak,deficit of the account,deficit of the account ;
875,ARADdingira,of ARAD-dingira ( ? ) ;,"say ,"
876,atu dumu lugalsagake,"Atu , son of Lugal-saga","Atu , son of Ulluḫ-ūri ,"
877,susudam,must replace it ;,be repaid ;
878,dumu lugalsaga,son of Lugal-saga .,"son of Lugalsaga ,"
879,NUMB dusumunus,"NUMB female equids ,","NUMB jennies ,"
880,cugi,"old ,","Ur-eškuga ,"
881,ki cuidimta,"from Šu-Idim ,",from Šu-Idim
882,cenumun,seed grain,For Šamaš
883,u GAN urua niginbabi,"and fields in plow , their grand totals","and in the area , in Tummal ,"
884,mu en inanna mace ipa,year : “ The en- ( priest ) of Inanna by the goat was found . ”,year : “ The high-priest of Inanna was named . ”
885,NUMB udu niga barana,"NUMB sheep , barley-fed , for the dais of An ,","NUMB sheep , barley-fed , for Amur-ilī"
886,NUMB udu niga NUMB us NUMB udu niga NUMB us,"NUMB sheep , barley-fed , of ordNUMB grade , NUMB sheep , barley-fed , of ordNUMB grade","NUMB grain-fed sheep of ordNUMB grade ,"
887,nanna,for Nanna ;,may Nanna
888,NUMB macgal niga NUMB us dublamah,"NUMB buck , barley-fed , of ordNUMB grade for Dublamaḫ ,","NUMB buck , barley-fed , of NUMB grade ,"
889,NUMB udu niga NUMB macgal niga gueusa,"NUMB sheep , barley-fed , NUMB bucks , barley-fed , “ following oxen , ”","NUMB barley-fed sheep , NUMB mature billygoat , barley-fed , “ following oxen , ”"
890,ezemana,“ Festival of An ” ;,"he had built for him ,"
891,NUMB udu niga NUMB us dur,"NUMB sheep , barley-fed , of ordNUMB grade , for “ Mound of the Roof ; ”","NUMB sheep , barley-fed , ordNUMB grade ,"
892,NUMB udu niga NUMB us NUMB udu niga NUMB us,"NUMB sheep , barley-fed , of ordNUMB grade , NUMB sheep , barley-fed , of ordNUMB grade ,","NUMB grain-fed sheep of ordNUMB grade ,"
893,nungal,for Nungal ;,"say ,"
894,NUMB udu niga dublamah,"NUMB sheep , barley-fed , for Dublamaḫ ;","NUMB sheep , barley-fed , at Dublamaḫ ,"
895,NUMB udu niga gueusa ANdur,"NUMB sheep , barley-fed , “ following oxen , ” for ANdur ;","NUMB sheep , grain-fed , “ following the ox , ”"
896,NUMB udu niga X culgi TUR X,"NUMB sheep , barley-fed , … , for Šulgi … ;","NUMB sheep , barley-fed , … , siskur-offering to Suen … ,"
897,NUMB X dandanda,"NUMB … , for Dandanda ;","NUMB … for Silver Mound ,"
898,NUMB X ningal X,"NUMB … , for Ningal … ;","NUMB … for them … ,"
899,NUMB gueusa ninuri,"NUMB ( sheep , barley-fed , ) “ following oxen , ” for Ninuri ;","NUMB , NUMB talents of glue ,"
900,NUMB X X,NUMB … Šu-Suen-ki’ag … ;,"NUMB , …um-bani ;"
901,NUMB X X,"NUMB … , for … ;","NUMB , …um-bani ;"
902,NUMB udu niga X,"NUMB sheep , barley-fed , for …-kalla ;","NUMB sheep , barley-fed , … ,"
903,NUMB udu niga X ninkununa,"NUMB sheep , barley-fed , … for Ninkununa ;","NUMB sheep , barley-fed , … ,"
904,NUMB udu niga NUMB us gula,"NUMB sheep , barley-fed , of ordNUMB grade , for Gula ;","NUMB rams , barley-fed , of Gula ,"
905,NUMB udu niga NUMB sila ninegal,"NUMB sheep , barley-fed , NUMB lamb , for Nin-egal ;","NUMB sheep , barley-fed , NUMB lamb ,"
906,giri suenabucu sagi,"via Suen-abušu , cup-bearer ,","via Bilila , the fattener ;"
907,ki abaenlilginta bazi,"booked out from Aba-Enlilgin ( ’s account ) ,","from Aba-Enlilgin , booked out ,"
908,giri urculgira carabdu,"via Ur-Šulgi , šarabdu ;",Responsible : the great ragaba .
909,mu cusuen lugal urimake naruamah enlil ninlilra munedu,"year : “ Šu-Suen , king of Ur , the grand-stele for Enlil ( and ) Ninlil erected ; ”","year : “ Šu-Suen , king of Ur , Big-Stele for Enlil and Ninlil erected . ”"
910,NUMB ud adara,"NUMB adara-nanny ,","NUMB Šimaškian goat ,"
911,ki ludingira,from Ludingira,from Lu-dingira
912,catili,by Šat-ilī ;,"say ,"
913,NUMB lalkuda,10- ( troop ) of Lalkuda ;,"NUMB PAda ,"
914,NUMB lahutum,NUMB bricks by Lahutum ;,"NUMB PAda ,"
915,NUMB,"NUMB bricks ,",NUMB . NUMB
916,NUMB ahuni,10- ( troop ) of Ahuni ;,"NUMB , Aḫuni ,"
917,cunigin NUMB sar NUMB gin NUMB sig,"total : NUMB ( brick ) -sar NUMB shekels bricks ,","together : NUMB sar NUMB shekels of brick ( ? ) ,"
918,a NUMB,"at labor of NUMB ( bricks per workday ) ,","labor of the NUMB ( bricks per workday ) ,"
